Name,Platform,Genre,Global_Sales,User_Score
Grand Theft Auto V,PS4,Action,12.61,8.3
FIFA 16,PS4,Sports,8.57,4.3
Call of Duty: Advanced Warfare,PS4,Shooter,7.66,5.7
FIFA 17,PS4,Sports,7.59,5
Fallout 4,PS4,Role-Playing,7.16,6.5
FIFA 15,PS4,Sports,6.08,5.7
Destiny,PS4,Shooter,5.64,6.1
Uncharted 4: A Thief's End,PS4,Shooter,5.38,7.9
Uncharted: The Nathan Drake Collection,PS4,Action,4.62,8.1
Call of Duty: Infinite Warfare,PS4,Shooter,4.46,3.4
Battlefield 1,PS4,Shooter,4.08,8.4
Watch Dogs,PS4,Action,4.05,6.3
Far Cry 4,PS4,Shooter,4.04,7.7
The Witcher 3: Wild Hunt,PS4,Role-Playing,3.97,9.2
Assassin's Creed: Unity,PS4,Action,3.96,4.9
Batman: Arkham Knight,PS4,Action,3.95,7.6
NBA 2K16,PS4,Sports,3.88,6.7
Tom Clancy's The Division,PS4,Shooter,3.8,7
Metal Gear Solid V: The Phantom Pain,PS4,Action,3.41,8.2
Assassin's Creed Syndicate,PS4,Action,3.39,6.8
Madden NFL 16,PS4,Sports,3.24,5.9
Middle-Earth: Shadow of Mordor,PS4,Action,2.96,8.1
inFAMOUS: Second Son,PS4,Action,2.79,7.9
Mortal Kombat X,PS4,Fighting,2.78,7.7
Bloodborne,PS4,Action,2.48,8.6
NBA 2K15,PS4,Sports,2.45,7
Far Cry: Primal,PS4,Action,2.26,6.3
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,2.21,7.3
Madden NFL 15,PS4,Sports,2.19,6.1
Overwatch,PS4,Shooter,2.14,6.1
Battlefield: Hardline,PS4,Shooter,2.1,5
Dying Light,PS4,Action,2.09,7.9
DriveClub,PS4,Racing,2.07,6.1
Dragon Age: Inquisition,PS4,Role-Playing,2.01,7.4
Destiny: The Taken King,PS4,Shooter,1.93,6
LittleBigPlanet 3,PS4,Platform,1.91,7.1
NBA 2K17,PS4,Sports,1.88,6.7
Just Cause 3,PS4,Action,1.86,6.5
Mafia III,PS4,Action,1.81,5.1
The Evil Within,PS4,Action,1.79,7.3
Madden NFL 17,PS4,Sports,1.75,4.9
The Order: 1886,PS4,Shooter,1.74,6.6
The Crew,PS4,Racing,1.72,5.4
No Man's Sky,PS4,Action,1.7,4.5
Dark Souls III,PS4,Role-Playing,1.65,8.8
Wolfenstein: The New Order,PS4,Shooter,1.55,8.1
Metal Gear Solid V: Ground Zeroes,PS4,Action,1.27,6.2
WWE 2K16,PS4,Sports,1.21,7.4
WWE 2K15,PS4,Sports,1.15,5.1
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Fighting,1.14,8.2
Watch Dogs 2,PS4,Action,1.13,7.8
Alien: Isolation,PS4,Shooter,1.13,8.1
Dragon Ball: XenoVerse,PS4,Fighting,1.11,7.7
Project CARS,PS4,Racing,1.09,6.6
EA Sports UFC,PS4,Sports,1.05,6.1
Rayman Legends,PS4,Platform,1.01,8.5
Grand Theft Auto V,XB1,Action,5.48,7.9
Call of Duty: Advanced Warfare,XB1,Shooter,5.27,5.4
Halo 5: Guardians,XB1,Shooter,4.48,6.4
Fallout 4,XB1,Role-Playing,4.22,6.2
Assassin's Creed: Unity,XB1,Action,3.5,4.1
Destiny,XB1,Shooter,3.37,5.5
Gears of War: Ultimate Edition,XB1,Shooter,3.28,7.5
FIFA 16,XB1,Sports,3.25,4.4
Halo: The Master Chief Collection,XB1,Shooter,3.23,7.2
Titanfall,XB1,Shooter,2.95,6.4
FIFA 17,XB1,Sports,2.65,5.5
Call of Duty: Infinite Warfare,XB1,Shooter,2.42,3.1
Madden NFL 16,XB1,Sports,2.42,6.1
NBA 2K16,XB1,Sports,2.34,6.2
Battlefield 1,XB1,Shooter,2.25,8.2
FIFA 15,XB1,Sports,2.18,5.4
Tom Clancy's The Division,XB1,Shooter,2.16,6.9
Forza Motorsport 6,XB1,Racing,1.8,7.9
NBA 2K15,XB1,Sports,1.72,6.3
Far Cry 4,XB1,Shooter,1.63,7.5
Watch Dogs,XB1,Action,1.57,5.8
Madden NFL 15,XB1,Sports,1.57,6.4
Batman: Arkham Knight,XB1,Action,1.49,6.6
Forza Horizon 2,XB1,Racing,1.4,8.2
Mortal Kombat X,XB1,Fighting,1.38,7.3
Middle-Earth: Shadow of Mordor,XB1,Action,1.35,8
Gears of War 4,XB1,Shooter,1.35,6.2
Tom Clancy's Rainbow Six: Siege,XB1,Shooter,1.34,6.9
The Witcher 3: Wild Hunt,XB1,Role-Playing,1.31,9.2
Assassin's Creed Syndicate,XB1,Action,1.3,6.1
Dying Light,XB1,Action,1.29,7.8
The Elder Scrolls Online,XB1,Role-Playing,1.28,8.4
Madden NFL 17,XB1,Sports,1.23,5.9
Battlefield: Hardline,XB1,Shooter,1.21,5.1
Destiny: The Taken King,XB1,Shooter,1.19,5.2
Sunset Overdrive,XB1,Shooter,1.14,7.7
Forza Horizon 3,XB1,Racing,1.08,7.4
Overwatch,XB1,Shooter,1.06,5.6
NBA 2K17,XB1,Sports,1.02,6.2
Mario Kart 8,WiiU,Racing,7.09,9.1
Splatoon,WiiU,Shooter,4.43,8.5
Super Mario Maker,WiiU,Platform,3.21,8.7
Donkey Kong Country: Tropical Freeze,WiiU,Platform,1.52,8.9
Yoshi's Woolly World,WiiU,Platform,1.3,8.5
Hyrule Warriors,WiiU,Action,1.23,8.3
The Legend of Zelda: Twilight Princess HD,WiiU,Action,1.03,8.4
Pokken Tournament,WiiU,Fighting,1.01,8
Call of Duty: Advanced Warfare,PS3,Shooter,4.36,4.8
FIFA 15,PS3,Sports,4.28,4.5
FIFA 16,PS3,Sports,2.71,3.2
Watch Dogs,PS3,Action,1.74,5.1
Destiny,PS3,Shooter,1.62,4.5
Madden NFL 15,PS3,Sports,1.45,2.7
NBA 2K15,PS3,Sports,1.34,3.5
Far Cry 4,PS3,Shooter,1.29,7.3
Assassin's Creed: Rogue,PS3,Action,1.29,7.5
Dark Souls II,PS3,Role-Playing,1.27,8.1
Call of Duty: Advanced Warfare,X360,Shooter,4.29,4.9
FIFA 15,X360,Sports,2.92,4.2
Madden NFL 15,X360,Sports,2.05,5.5
Destiny,X360,Shooter,1.92,4.7
NBA 2K15,X360,Sports,1.63,3
FIFA 16,X360,Sports,1.57,2.9
Titanfall,X360,Shooter,1.36,5.9
The LEGO Movie Videogame,X360,Action,1.27,7.2
Watch Dogs,X360,Action,1.25,5
Plants vs. Zombies: Garden Warfare,X360,Shooter,1.08,7.3
Assassin's Creed: Rogue,X360,Action,1.01,7.3
Monster Hunter 4 Ultimate,3DS,Role-Playing,3.89,8.7
The Legend of Zelda: Majora's Mask 3D,3DS,Action,2.34,9
Kirby: Triple Deluxe,3DS,Platform,1.83,8.8
Yoshi's New Island,3DS,Platform,1.38,6.1
Pokemon Super Mystery Dungeon,3DS,Role-Playing,1.25,8.8
The Legend of Zelda: Tri Force Heroes,3DS,Action,1.12,7.6
